Id;Designator;Package;Quantity;Designation;Manufacturer;Manufacturer ID;Mouser ID;Digikey ID
1;R2,R1,R3;SM1206;3;470;Yageo;RC1206FR-07470RL;603-RC1206FR-07470RL;311-470FRCT-ND
2;R5;SM1206;1;5K;Vishay / Dale;ESR18EZPF502;71-CRCW1206-47.5K-E3;541-47.5KFCT-ND
3;R7;SM1206;1;10K;ROHM Semiconductor;CRCW120647K5FKEA;755-ESR18EZPF1002;RHM10.0KAFTR-ND
4;C1,C2;SM0805;2;1uF;Vishay / Vitramon;VJ0805Y105KXQTW1BC;71-CRCW1206-47.5K-E3;490-1691-1-ND
5;BT1;PINHEAD1-2;1;BATTERY;TE Connectivity AMP Connectors;640456-2;"571-6404562
";A1921-ND
6;P6;PIN_ARRAY_2X1;1;BATT;TE Connectivity AMP Connectors;640456-2;"571-6404562
";A1921-ND
7;U5;MSOP10-0.5;1;MCP73833;Microchip;MCP73833-AMI/UN;579-MCP73833-AMI/UN;MCP73833-AMI/UN-ND
8;D1;LED-0805;1;POWER;Kingbright;AP2012EC;604-AP2012EC;AP2012EC-ND
9;D2;LED-0805;1;COMPLETE;Kingbright;AP2012EC;604-AP2012EC;AP2012EC-ND
10;D3;LED-0805;1;CHARGING;Kingbright;AP2012EC;604-AP2012EC;AP2012EC-ND
11;P7;PIN_ARRAY_2X1;1;POWER;TE Connectivity AMP Connectors;640456-2;"571-6404562
";A1921-ND
