Id;Designator;Package;Quantity;Designation;Manufacturer;Manufacturer Part Number;Mouser Part Number;Digikey Part Number
1;P7;IR_Sensors;5;CONN_10X2; Osram Opto Semiconductor;SFH 4545;720-SFH4545;475-2919-ND
1;P8;IR_Sensors/ Phototransistors;5;CONN_10X2;Vishay Semiconductors ;TEFT4300;782-TEFT4300;751-1041-ND
3;Q5;SOT23_MOD;1;NPN;ON Semiconductor;MMBT3904LT3G;863-MMBT2222ALT1G;MMBT2222ALT1GOSCT-ND
4;U4;ssop_16;1;TB6552;Toshiba;TB6552;757-TB6552FNGC8EL;TB6552FNGC8ELCT-ND
5;U2;LEDRGB;1;CLV1AFK;Cree, Inc.;CLV1A-FKB-CHMKPEHBB7A363;941-V1AFKBCHMKPEH7A3;CLV1A-FKB-CK1N1G1BB7R4S3CT-ND
6;R3,R9;SM1206;2;33;ROHM Semiconductor;ESR18EZPJ330;755-ESR18EZPJ330;RHM33ITR-ND
7;R18,R1,R17;SM1206;3;10K;ROHM Semiconductor;ESR18EZPF1002;755-ESR18EZPF1002;RHM10.0KAFTR-ND
8;IC1;TQFP32;1;ATMEGA168A-A;Atmel;ATMEGA168A-AU;556-ATMEGA168A-AU;ATMEGA168A-AU-ND
9;C2,C4;c_0805;2;1uF;Vishay / Vitramon;VJ0805Y105KXQTW1BC;77-VJ0805Y105KXQTBC;490-1691-1-ND
10;C8,C9,C10,C5,C12,C3,C11,C6;c_0805;7;0.1uF;Yageo;CC0805ZRY5V9BB104;603-CC805ZRY5V9BB104;311-1361-1-ND
12;C1,C7;c_elec_6.3x5.3;2;10uF;Wurth Electronics Inc;8.75105E+11;710-875105240001;732-6401-1-ND
13;P1,P2;Motor;2;MOTOR1,MOTOR2;;FF-N20 3V;http://amzn.com/B00OK8QGKQ;
14;P5;PIN_ARRAY_2X1;1;BATT;;3.7V 250mAh Li-po Batteries;http://amzn.com/B01ANI2UU6;
15;P4;pin_array_3x2;1;AVRSPI;Sullins Connector Solutions;PPTC032LFBN-RC;571-215309-3;S7071-ND
16;P3;PIN_ARRAY_4x1;1;BT;Harwin Inc.;M20-7820446;855-M20-7820446;952-1792-ND
17;R2,R4,R12,R14,R6;SM1206;5;1.5K;Yageo;RC1206JR-071K5L;603-RC1206JR-071K5L;311-1.5KERCT-ND
18;R11,R15,R16;SM1206;3;430;Yageo;RC1206FR-07430RL;603-RC1206FR-07430RL;311-430FRCT-ND
19;U1;SOT223;1;TC1262;Microchip Technology;TC1262-3.3VDBTR;579-TC1262-3.3VDBTR;TC1262-3.3VDBCT-ND
21;U3;Nrf24l01;1;NRF24L01;Nordic Semiconductor;;http://amzn.com/B00O9O868G;
22;P6;PIN_ARRAY_4x1;1;I2C;Harwin Inc.;M20-7820446;855-M20-7820446;952-1792-ND
